Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,states
3.4672880295049546e-07,9.259857337330643e-07,7.851281488410908e-07,1.0926486289230875e-06,1.72562030982213e-06,1.1465378576418495e-06,6.678216427851509e-07,1.2336255678144366e-06,1.6844593188179826e-06,2.303077711203421e-06,1.9799377917112627e-06,1.26338637599088e-06,1.8575675821748913e-06,2.53791659573375e-06,3.059916142006566e-06,3.629944843436611e-06,3.143283358165839e-06,3.0217778282972193e-06,1.940769585855656e-06,1.628793215229693e-06,2.1230057625543443e-06,1.6208239931256426e-06,1.2969411991983868e-06,1.027826846638022e-06,1.37298350022151e-06,1.2936638728980784e-06,1.3297820287335072e-06,1.009602639872078e-06,6.266884942595255e-07,4.972330204818098e-07,9.045598754254195e-07,2.2063134429983856e-07,1
5.446738474677863e-07,8.874319655626421e-07,1.0445383157788098e-06,1.3166620408078212e-06,1.7635338910379784e-06,1.2104653422918951e-06,1.557825302444948e-06,1.8783195961882317e-06,2.092322350215992e-06,2.306297347798151e-06,2.458253264052792e-06,2.4068485320293855e-06,3.0967346193952673e-06,3.566423924366509e-06,2.8880693961232724e-06,3.955412930492345e-06,3.1206632809807496e-06,2.7032583479713543e-06,2.348630650404284e-06,1.9647159247483855e-06,1.5229500318042287e-06,1.4520869708199078e-06,1.801635285414384e-06,1.4289864362442622e-06,1.3604479855753285e-06,1.1914465490343446e-06,9.007313343615182e-07,9.894725135365566e-07,1.1521382721984444e-06,7.398189514060417e-07,8.423739318387342e-07,3.9026983386666255e-07,1
5.457657768577505e-07,1.3652709793064317e-06,8.101140473585543e-07,1.2539541548229168e-06,1.8403177590151148e-06,1.0732141455487695e-06,1.5291045693454222e-06,1.19934798430963e-06,1.710587688731535e-06,2.2228891208496984e-06,1.9922329241104147e-06,1.9840615275050024e-06,2.967140078675652e-06,2.861535052408288e-06,2.6098984629669884e-06,3.2481286433914606e-06,2.530254319423321e-06,2.5347967650955257e-06,2.8454416542919426e-06,2.086316349873561e-06,1.7411016981013767e-06,1.7848996436827388e-06,1.952103644198927e-06,1.3556902273605006e-06,1.340104367454773e-06,1.1785581876972441e-06,1.4035114622072076e-06,8.643201391418058e-07,8.594195958833152e-07,6.95935699096777e-07,7.702103355411e-07,4.034269519051932e-07,1
4.076365607492981e-07,8.679820064611994e-07,1.0518310971576894e-06,1.079137704423133e-06,1.9055029174282591e-06,1.7608622270503682e-06,1.164008118087399e-06,2.081830518894069e-06,1.8696494652720403e-06,2.1623863004513043e-06,2.357175249583085e-06,2.1984270109744567e-06,2.9571102893786313e-06,2.9413435391487603e-06,2.6393837126065894e-06,3.2361244851956367e-06,2.8595520192339207e-06,2.6401614359106745e-06,2.15396921230558e-06,2.0613275083350624e-06,1.903626217756645e-06,1.5645282650919996e-06,1.8676828618068388e-06,1.5845706755531956e-06,1.4869286524955878e-06,1.3338399976432489e-06,1.5202310851343063e-06,9.42417865707784e-07,1.3539385877956413e-06,8.269916448713814e-07,9.161846096187693e-07,4.90640263743536e-07,1
3.3438549417279285e-07,1.6972542098017483e-06,8.934590287577218e-07,9.301082114761615e-07,1.4227973503357351e-06,9.953801289589433e-07,9.5659308995974e-07,1.5531007431622795e-06,1.4731842218571365e-06,1.7880891168016553e-06,1.8897586539128986e-06,1.7926702514502361e-06,2.6923515366831916e-06,2.7210792165961143e-06,2.2213055110253157e-06,3.0416754917831397e-06,2.833044451888829e-06,2.4878240298350453e-06,2.194942789248055e-06,1.7006937220949591e-06,1.378131645787996e-06,1.159896214247592e-06,1.6856129445043587e-06,1.3105362926650203e-06,1.166709336702654e-06,7.927376019750317e-07,1.021265018943734e-06,5.728562995836414e-07,1.161000910030447e-06,7.946868600083875e-07,6.063963821243628e-07,3.327411516484869e-07,1
3.5131733499045195e-07,1.170602702353011e-06,5.764924340232233e-07,9.825873917535303e-07,1.5394983216915863e-06,1.0148235561393834e-06,9.974762090275925e-07,1.1219846449308697e-06,1.6293043416412126e-06,1.8575770229967537e-06,1.7461129782787358e-06,1.2948537196599916e-06,2.469546585764746e-06,2.033955644918766e-06,2.5353371723582207e-06,2.6299080235279065e-06,2.5688110722805807e-06,2.7720566240128985e-06,2.9659497658314567e-06,2.2712057635864075e-06,1.6309865984579177e-06,2.0514213486966773e-06,1.8956630544705231e-06,9.856477568161295e-07,1.7414763642806216e-06,1.6152916832907123e-06,1.317849918044916e-06,1.1664133743383719e-06,1.0689933109557144e-06,7.330570553855795e-07,8.42327860391982e-07,3.9070436278937136e-07,1
1.3659295074575332e-06,1.4585917303421214e-06,1.5112868581272873e-06,2.005171319122348e-06,2.5570872277483367e-06,1.9622747232447016e-06,1.627379085675849e-06,2.0215004385549118e-06,2.177022326851296e-06,2.405233887777773e-06,2.3098802088021744e-06,1.7685777493625783e-06,2.185152682405288e-06,2.4159246046555378e-06,2.691430196607013e-06,3.24143724340171e-06,3.206529271336279e-06,3.4825615918215885e-06,3.1725086565678295e-06,2.7357469686147672e-06,2.176123797000865e-06,2.0946456204693326e-06,1.6334046280020339e-06,1.4108102588420105e-06,1.6482781669731766e-06,1.8812919626736588e-06,2.042002573787343e-06,1.7085187841101645e-06,1.4063551950659803e-06,1.3917004954884222e-06,1.6506760330991724e-06,1.2907000886844785e-06,1
4.347889264617483e-07,1.2680813498370752e-06,4.847373301525037e-07,6.352584115563855e-07,1.4547216527429049e-06,8.176486023525668e-07,8.766838245056453e-07,9.349762617397593e-07,1.4885249942856583e-06,1.8392902698864063e-06,1.2751108293381875e-06,8.549857389024871e-07,1.945883975985698e-06,1.2948349996414033e-06,2.048759611647538e-06,2.073852518741638e-06,2.0474216391760942e-06,1.8528109197437857e-06,1.6789941103193712e-06,1.528200268747862e-06,1.67350870052345e-06,1.284977036253936e-06,1.5792946960842492e-06,1.1162921728015483e-06,1.152045755365322e-06,9.544251248027507e-07,1.026314640740415e-06,8.744511347345423e-07,1.013446480399266e-06,9.204996023872016e-07,7.170996145597605e-07,3.855496054560159e-07,1
2.845143910844656e-07,1.0511663387926272e-06,1.1376975915050976e-06,1.4654097801268503e-06,1.9784063486743497e-06,1.5224148653001568e-06,1.2907912351746991e-06,1.617520928519949e-06,1.97970693604043e-06,2.7482260947919866e-06,2.2593851465917855e-06,2.110293772373751e-06,2.917352591115142e-06,2.8385590011676787e-06,2.9931332472736986e-06,4.252820327427278e-06,3.6120870785784172e-06,3.199145730320072e-06,2.7727779524132305e-06,2.6801596694531816e-06,2.169868402567909e-06,1.9499676728422735e-06,1.9303419171438583e-06,1.5224633525436826e-06,1.4112903569625417e-06,1.511017485051458e-06,1.6359718248511848e-06,1.0327576111258987e-06,9.159785730904265e-07,4.933480892721566e-07,7.653765766247023e-07,3.4457821898023155e-07,1
4.1075892577493453e-07,9.687608796934146e-07,5.893948270020418e-07,9.820044099005746e-07,1.6883476275444993e-06,1.0624353821963105e-06,9.10306721941282e-07,1.0522878285321541e-06,1.5123369190849558e-06,2.0930531536527233e-06,1.7058018822855976e-06,1.630809893355233e-06,2.1721017497914793e-06,2.5916437898058458e-06,2.7472232369525615e-06,3.4814479473093303e-06,2.5528340861748985e-06,2.5864094839637957e-06,3.1594403808174517e-06,2.5378591661033153e-06,1.9236558072228605e-06,2.0277031288086e-06,1.910911857594795e-06,1.3489687878321244e-06,1.442507538784491e-06,1.5097840062261423e-06,1.7134086871373996e-06,9.328659704578566e-07,9.309698119067843e-07,6.908433131458897e-07,1.4080436076135735e-06,4.033431210352674e-07,1
